parameter,value
L_1xx,0.0
L_1xy,0.0
L_1xz,0.0
L_1yy,0.0
L_1yz,0.0
L_1zz,0.035678881508665564
l_1x,0.0
l_1y,0.0
l_1z,0.0
m_1,0.0
fv_1,0.11595354225008625
fc_1,0.2489229226282197
fo_1,-0.13793290899614352
L_2xx,0.020266486699603927
L_2xy,0.07785111258577564
L_2xz,0.042276901270388606
L_2yy,0.01541224251635711
L_2yz,0.015627324346905086
L_2zz,0.0028459816261460725
l_2x,0.024363811692788343
l_2y,-1.209038057639601
l_2z,3.713598158142038e-11
m_2,0.0
fv_2,0.08738120251214376
fc_2,0.19679006469703522
fo_2,-0.31616027379205
L_3xx,-0.013789877951471487
L_3xy,-0.015472450359626662
L_3xz,-0.08596806644267413
L_3yy,0.03690246972216865
L_3yz,-0.01410781371235358
L_3zz,0.04951074809987472
l_3x,0.5582529936606798
l_3y,-0.000272906720058662
l_3z,1.223645692087614
m_3,0.3843639550374927
fv_3,-0.016324063682148258
fc_3,0.16569872382317896
fo_3,-0.4221594687182238
L_4xx,0.043647387170615566
L_4xy,0.06180700415682771
L_4xz,-0.0146609398522096
L_4yy,-0.007926266044804975
L_4yz,-0.007907009862003727
L_4zz,-0.08602399786555734
l_4x,-0.36722380035116214
l_4y,0.6288347184807646
l_4z,-0.0010035276712323327
m_4,0.4310079558572695
fv_4,-0.055756717420550196
fc_4,0.3192981608137621
fo_4,0.0699608479538777
L_5xx,-0.013461236520806757
L_5xy,-0.01845703097492654
L_5xz,0.007927971471317054
L_5yy,-0.028915362308179603
L_5yz,0.004059998936095879
L_5zz,0.01771642360901147
l_5x,-0.0022433267255813597
l_5y,0.04349682316231933
l_5z,0.6013888216855262
m_5,0.6978456344850341
fv_5,0.02251349608875877
fc_5,0.29578476073140575
fo_5,0.07266240658919187
L_6xx,-0.0031108600961476
L_6xy,0.012515093217017713
L_6xz,-0.0005184284888017836
L_6yy,0.007366086775947804
L_6yz,0.01032953458162788
L_6zz,0.023297589212665944
l_6x,0.1604912262134199
l_6y,-0.08501992362869595
l_6z,-0.04349673827747319
m_6,0.6978456887732434
fv_6,-0.028352113624945094
fc_6,0.20073672040313875
fo_6,0.009965705640784814
L_7xx,0.01073339306608264
L_7xy,-0.0028129924140710967
L_7xz,0.00047939567676015375
L_7yy,0.009453037480449969
L_7yz,-0.005252933688975285
L_7zz,-0.003692118376603621
l_7x,0.0048466182066638054
l_7y,0.008521946437327616
l_7z,0.08612123016090809
m_7,0.7122070748697493
fv_7,0.050242276022092754
fc_7,0.20381533301660895
fo_7,0.03049840911248062
